query,rolname,calls,mean_time,min_time,max_time,total_time,rows_read,cache_hit_rate,prop_total_time,index_advisor_result
"WITH pgrst_source AS ( SELECT ""public"".""maintenance_requests"".*, row_to_json(""maintenance_requests_profiles_1"".*)::jsonb AS ""profiles"", row_to_json(""maintenance_requests_properties_1"".*)::jsonb AS ""properties"" FROM ""public"".""maintenance_requests"" LEFT JOIN LATERAL ( SELECT ""profiles_1"".""name"", ""profiles_1"".""email"" FROM ""public"".""profiles"" AS ""profiles_1""  WHERE ""profiles_1"".""id"" = ""public"".""maintenance_requests"".""tenant_id""   LIMIT $1 OFFSET $2 ) AS ""maintenance_requests_profiles_1"" ON $7 LEFT JOIN LATERAL ( SELECT ""properties_1"".""name"", ""properties_1"".""address"" FROM ""public"".""properties"" AS ""properties_1""  WHERE ""properties_1"".""id"" = ""public"".""maintenance_requests"".""property_id""   LIMIT $3 OFFSET $4 ) AS ""maintenance_requests_properties_1"" ON $8   ORDER BY ""public"".""maintenance_requests"".""created_at"" DESC  LIMIT $5 OFFSET $6 )  SELECT $9::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $10) AS body, nullif(current_setting($11, $12), $13) AS response_headers, nullif(current_setting($14, $15), $16) AS response_status, $17 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",authenticated,17587719,0.29795530244349,0.01472,30.384841,5240354.13393584,17587719,100.0000000000000000,36.73370917632901,null
"SELECT wal->>$5 as type,
       wal->>$6 as schema,
       wal->>$7 as table,
       COALESCE(wal->>$8, $9) as columns,
       COALESCE(wal->>$10, $11) as record,
       COALESCE(wal->>$12, $13) as old_record,
       wal->>$14 as commit_timestamp,
       subscription_ids,
       errors
FROM realtime.list_changes($1, $2, $3, $4)",supabase_admin,836028,4.11599675315191,2.738049,900.212321,3441088.53354411,22,100.0000000000000000,24.12126016878031,null
"WITH pgrst_source AS ( SELECT ""public"".""tenant_property_links"".""id"", ""public"".""tenant_property_links"".""unit_number"", ""public"".""tenant_property_links"".""is_active"", row_to_json(""tenant_property_links_properties_1"".*)::jsonb AS ""properties"" FROM ""public"".""tenant_property_links"" LEFT JOIN LATERAL ( SELECT ""properties_1"".""id"", ""properties_1"".""name"", ""properties_1"".""address"", ""properties_1"".""landlord_id"", ""properties_1"".""wifi_network"", ""properties_1"".""wifi_password"", ""properties_1"".""emergency_contact"", ""properties_1"".""emergency_phone"" FROM ""public"".""properties"" AS ""properties_1""  WHERE ""properties_1"".""id"" = ""public"".""tenant_property_links"".""property_id""   LIMIT $1 OFFSET $2 ) AS ""tenant_property_links_properties_1"" ON $7 WHERE  ""public"".""tenant_property_links"".""tenant_id"" = $3 AND  ""public"".""tenant_property_links"".""is_active"" = $4   LIMIT $5 OFFSET $6 )  SELECT $8::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $9) AS body, nullif(current_setting($10, $11), $12) AS response_headers, nullif(current_setting($13, $14), $15) AS response_status, $16 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",authenticated,15384794,0.120872823430316,0.015991,20.084658,1859603.4886743,15384794,100.0000000000000000,13.035404094902898,null
"select set_config('search_path', $1, true), set_config($2, $3, true), set_config('role', $4, true), set_config('request.jwt.claims', $5, true), set_config('request.method', $6, true), set_config('request.path', $7, true), set_config('request.headers', $8, true), set_config('request.cookies', $9, true)",authenticated,58500112,0.0253463301193682,0.013324,15.731723,1482763.15077182,58500112,100.0000000000000000,10.393837699842786,null
"WITH pgrst_source AS ( SELECT ""public"".""profiles"".* FROM ""public"".""profiles""  WHERE  ""public"".""profiles"".""id"" = $1   LIMIT $2 OFFSET $3 )  SELECT $4::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t)->$5, $6) AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",authenticated,20624386,0.0625748179734983,0.027799,25.259809,1290567.19976538,20624386,100.0000000000000000,9.046587115494207,null
"WITH pgrst_source AS ( SELECT ""public"".""messages"".*, row_to_json(""messages_sender_1"".*)::jsonb AS ""sender"", row_to_json(""messages_recipient_1"".*)::jsonb AS ""recipient"" FROM ""public"".""messages"" LEFT JOIN LATERAL ( SELECT ""profiles_1"".""name"", ""profiles_1"".""email"" FROM ""public"".""profiles"" AS ""profiles_1""  WHERE ""profiles_1"".""id"" = ""public"".""messages"".""sender_id""   LIMIT $1 OFFSET $2 ) AS ""messages_sender_1"" ON $9 LEFT JOIN LATERAL ( SELECT ""profiles_1"".""name"", ""profiles_1"".""email"" FROM ""public"".""profiles"" AS ""profiles_1""  WHERE ""profiles_1"".""id"" = ""public"".""messages"".""recipient_id""   LIMIT $3 OFFSET $4 ) AS ""messages_recipient_1"" ON $10 WHERE  ( ""public"".""messages"".""sender_id"" = $5 OR  ""public"".""messages"".""recipient_id"" = $6)  ORDER BY ""public"".""messages"".""created_at"" ASC  LIMIT $7 OFFSET $8 )  SELECT $11::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $12) AS body, nullif(current_setting($13, $14), $15) AS response_headers, nullif(current_setting($16, $17), $18) AS response_status, $19 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",authenticated,705412,0.56093972430154,0.018371,19.924842,395693.612799001,705412,100.0000000000000000,2.7737236308822717,null
"WITH pgrst_source AS ( SELECT ""public"".""properties"".* FROM ""public"".""properties""  WHERE  ""public"".""properties"".""landlord_id"" = $1  ORDER BY ""public"".""properties"".""created_at"" DESC  LIMIT $2 OFFSET $3 )  SELECT $4::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $5) AS body, nullif(current_setting($6, $7), $8) AS response_headers, nullif(current_setting($9, $10), $11) AS response_status, $12 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t",authenticated,4053370,0.0964819169826594,0.013711,13.36411,391076.907839975,4053370,100.0000000000000000,2.7413615627885255,null
"with f as (
      
-- CTE with sane arg_modes, arg_names, and arg_types.
-- All three are always of the same length.
-- All three include all args, including OUT and TABLE args.
with functions as (
  select
    *,
    -- proargmodes is null when all arg modes are IN
    coalesce(
      p.proargmodes,
      array_fill($1::text, array[cardinality(coalesce(p.proallargtypes, p.proargtypes))])
    ) as arg_modes,
    -- proargnames is null when all args are unnamed
    coalesce(
      p.proargnames,
      array_fill($2::text, array[cardinality(coalesce(p.proallargtypes, p.proargtypes))])
    ) as arg_names,
    -- proallargtypes is null when all arg modes are IN
    coalesce(p.proallargtypes, p.proargtypes) as arg_types,
    array_cat(
      array_fill($3, array[pronargs - pronargdefaults]),
      array_fill($4, array[pronargdefaults])) as arg_has_defaults
  from
    pg_proc as p
  where
    p.prokind = $5
)
select
  f.oid as id,
  n.nspname as schema,
  f.proname as name,
  l.lanname as language,
  case
    when l.lanname = $6 then $7
    else f.prosrc
  end as definition,
  case
    when l.lanname = $8 then f.prosrc
    else pg_get_functiondef(f.oid)
  end as complete_statement,
  coalesce(f_args.args, $9) as args,
  pg_get_function_arguments(f.oid) as argument_types,
  pg_get_function_identity_arguments(f.oid) as identity_argument_types,
  f.prorettype as return_type_id,
  pg_get_function_result(f.oid) as return_type,
  nullif(rt.typrelid, $10) as return_type_relation_id,
  f.proretset as is_set_returning_function,
  case
    when f.provolatile = $11 then $12
    when f.provolatile = $13 then $14
    when f.provolatile = $15 then $16
  end as behavior,
  f.prosecdef as security_definer,
  f_config.config_params as config_params
from
  functions f
  left join pg_namespace n on f.pronamespace = n.oid
  left join pg_language l on f.prolang = l.oid
  left join pg_type rt on rt.oid = f.prorettype
  left join (
    select
      oid,
      jsonb_object_agg(param, value) filter (where param is not null) as config_params
    from
      (
        select
          oid,
          (string_to_array(unnest(proconfig), $17))[$18] as param,
          (string_to_array(unnest(proconfig), $19))[$20] as value
        from
          functions
      ) as t
    group by
      oid
  ) f_config on f_config.oid = f.oid
  left join (
    select
      oid,
      jsonb_agg(jsonb_build_object(
        $21, t2.mode,
        $22, name,
        $23, type_id,
        -- Cast null into false boolean
        $24, COALESCE(has_default, $25)
      )) as args
    from
      (
        select
          oid,
          unnest(arg_modes) as mode,
          unnest(arg_names) as name,
          -- Coming from: coalesce(p.proallargtypes, p.proargtypes) postgres won't automatically assume
          -- integer, we need to cast it to be properly parsed
          unnest(arg_types)::int8 as type_id,
          unnest(arg_has_defaults) as has_default
        from
          functions
      ) as t1,
      lateral (
        select
          case
            when t1.mode = $26 then $27
            when t1.mode = $28 then $29
            when t1.mode = $30 then $31
            when t1.mode = $32 then $33
            else $34
          end as mode
      ) as t2
    group by
      t1.oid
  ) f_args on f_args.oid = f.oid

    )
    select
      f.*
    from f
   where schema NOT IN ($35,$36,$37)

-- source: dashboard
-- user: 63b9abdc-cd46-415b-bc54-f606f819b394
-- date: 2025-07-26T00:42:25.697Z",postgres,371,109.295437568733,66.3989,357.040422,40548.607338,43016,100.0000000000000000,0.2842366587046938,null
SELECT name FROM pg_timezone_names,authenticator,147,263.948000414966,52.841248,617.019318,38800.356061,175518,0,0.271981808682138,null
"WITH pgrst_source AS (UPDATE ""public"".""profiles"" SET ""avatar_url"" = ""pgrst_body"".""avatar_url"", ""name"" = ""pgrst_body"".""name"", ""role"" = ""pgrst_body"".""role"", ""updated_at"" = ""pgrst_body"".""updated_at"" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT ""avatar_url"", ""name"", ""role"", ""updated_at"" FROM json_to_record(pgrst_payload.json_data) AS _(""avatar_url"" text, ""name"" text, ""role"" public.user_role, ""updated_at"" timestamp with time zone) ) pgrst_body  WHERE  ""public"".""profiles"".""id"" = $2 RETURNING ""public"".""profiles"".*) SELECT $3 AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, array[]::text[] AS header, coalesce(json_agg(_postgrest_t)->$4, $5) AS body, nullif(current_setting($6, $7), $8) AS response_headers, nullif(current_setting($9, $10), $11) AS response_status, $12 AS response_inserted FROM (SELECT ""profiles"".* FROM ""pgrst_source"" AS ""profiles""     ) _postgrest_t",authenticated,4683,6.65505616741405,0.125313,247.34528,31165.628032,4683,100.0000000000000000,0.21846407459590816,null
