event_message,id,identifier,method,path,search,status_code,timestamp
GET | 200 | 68.231.21.72 | 9b044e4209b9b38d | https://zxqhxjuwmkxevhkpqfzf.supabase.co/rest/v1/messages?select=*%2Csender%3Aprofiles%21sender_id%28name%2Cemail%29%2Crecipient%3Aprofiles%21recipient_id%28name%2Cemail%29&order=created_at.asc&or=%28sender_id.eq.8399535c-7037-47d9-a9a2-a042f531ed1d%2Crecipient_id.eq.8399535c-7037-47d9-a9a2-a042f531ed1d%29 | MyAILandlord/1 CFNetwork/3860.200.71 Darwin/25.1.0,34e0886f-8015-4527-afea-459e0456267a,zxqhxjuwmkxevhkpqfzf,GET,/rest/v1/messages,?select=*%2Csender%3Aprofiles%21sender_id%28name%2Cemail%29%2Crecipient%3Aprofiles%21recipient_id%28name%2Cemail%29&order=created_at.asc&or=%28sender_id.eq.8399535c-7037-47d9-a9a2-a042f531ed1d%2Crecipient_id.eq.8399535c-7037-47d9-a9a2-a042f531ed1d%29,200,1766120105288000
GET | 101 | 68.231.21.72 | 9b044e41a95c0111 | https://zxqhxjuwmkxevhkpqfzf.supabase.co/realtime/v1/websocket?apikey=REDACTED&vsn=1.0.0 | null,46004723-7ab9-4706-83ef-8db8e3907bad,zxqhxjuwmkxevhkpqfzf,GET,/realtime/v1/websocket,?apikey=REDACTED&vsn=1.0.0,101,1766120105234000
GET | 200 | 68.231.21.72 | 9b044e417fbab38d | https://zxqhxjuwmkxevhkpqfzf.supabase.co/rest/v1/maintenance_requests?select=*%2Cprofiles%21tenant_id%28name%2Cemail%29%2Cproperties%28name%2Caddress%29&order=created_at.desc&limit=20&offset=0 | MyAILandlord/1 CFNetwork/3860.200.71 Darwin/25.1.0,5dd77238-d529-4634-bdb1-523fd6b5cee5,zxqhxjuwmkxevhkpqfzf,GET,/rest/v1/maintenance_requests,?select=*%2Cprofiles%21tenant_id%28name%2Cemail%29%2Cproperties%28name%2Caddress%29&order=created_at.desc&limit=20&offset=0,200,1766120105210000
GET | 200 | 68.231.21.72 | 9b044e417fb9b38d | https://zxqhxjuwmkxevhkpqfzf.supabase.co/rest/v1/maintenance_requests?select=*%2Cprofiles%21tenant_id%28name%2Cemail%29%2Cproperties%28name%2Caddress%29&order=created_at.desc&limit=50&offset=0 | MyAILandlord/1 CFNetwork/3860.200.71 Darwin/25.1.0,efc1619d-0781-4582-b256-7fad82665f86,zxqhxjuwmkxevhkpqfzf,GET,/rest/v1/maintenance_requests,?select=*%2Cprofiles%21tenant_id%28name%2Cemail%29%2Cproperties%28name%2Caddress%29&order=created_at.desc&limit=50&offset=0,200,1766120105208000
GET | 200 | 68.231.21.72 | 9b044e417fb7b38d | https://zxqhxjuwmkxevhkpqfzf.supabase.co/rest/v1/profiles?select=*&id=eq.8399535c-7037-47d9-a9a2-a042f531ed1d | MyAILandlord/1 CFNetwork/3860.200.71 Darwin/25.1.0,9413ac51-1ba7-4a0c-896b-db736326f6b4,zxqhxjuwmkxevhkpqfzf,GET,/rest/v1/profiles,?select=*&id=eq.8399535c-7037-47d9-a9a2-a042f531ed1d,200,1766120105207000
GET | 200 | 68.231.21.72 | 9b044e402a19b38d | https://zxqhxjuwmkxevhkpqfzf.supabase.co/rest/v1/properties?select=*&landlord_id=eq.8399535c-7037-47d9-a9a2-a042f531ed1d&order=created_at.desc&offset=0&limit=20 | MyAILandlord/1 CFNetwork/3860.200.71 Darwin/25.1.0,6698a4cd-51e9-4de1-a216-e54cfe2e0437,zxqhxjuwmkxevhkpqfzf,GET,/rest/v1/properties,?select=*&landlord_id=eq.8399535c-7037-47d9-a9a2-a042f531ed1d&order=created_at.desc&offset=0&limit=20,200,1766120104991000
GET | 200 | 68.231.21.72 | 9b044e3e39e8b38d | https://zxqhxjuwmkxevhkpqfzf.supabase.co/rest/v1/profiles?select=*&id=eq.8399535c-7037-47d9-a9a2-a042f531ed1d | MyAILandlord/1 CFNetwork/3860.200.71 Darwin/25.1.0,ac1abc39-ca8d-4ada-ad37-a63ae90404a1,zxqhxjuwmkxevhkpqfzf,GET,/rest/v1/profiles,?select=*&id=eq.8399535c-7037-47d9-a9a2-a042f531ed1d,200,1766120104697000
GET | 200 | 68.231.21.72 | 9b044e3e39e6b38d | https://zxqhxjuwmkxevhkpqfzf.supabase.co/rest/v1/profiles?select=*&id=eq.8399535c-7037-47d9-a9a2-a042f531ed1d | MyAILandlord/1 CFNetwork/3860.200.71 Darwin/25.1.0,86bb296a-25bd-47ba-9a15-abea9e07b3ac,zxqhxjuwmkxevhkpqfzf,GET,/rest/v1/profiles,?select=*&id=eq.8399535c-7037-47d9-a9a2-a042f531ed1d,200,1766120104690000
GET | 200 | 68.231.21.72 | 9b044e3e39e0b38d | https://zxqhxjuwmkxevhkpqfzf.supabase.co/rest/v1/profiles?select=*&id=eq.8399535c-7037-47d9-a9a2-a042f531ed1d | MyAILandlord/1 CFNetwork/3860.200.71 Darwin/25.1.0,62b9a79f-c479-4248-83b4-7af210f05e75,zxqhxjuwmkxevhkpqfzf,GET,/rest/v1/profiles,?select=*&id=eq.8399535c-7037-47d9-a9a2-a042f531ed1d,200,1766120104687000
GET | 200 | 68.231.21.72 | 9b044e3e39f3b38d | https://zxqhxjuwmkxevhkpqfzf.supabase.co/rest/v1/profiles?select=*&id=eq.8399535c-7037-47d9-a9a2-a042f531ed1d | MyAILandlord/1 CFNetwork/3860.200.71 Darwin/25.1.0,607040ae-485d-4527-9720-208a9eab5a26,zxqhxjuwmkxevhkpqfzf,GET,/rest/v1/profiles,?select=*&id=eq.8399535c-7037-47d9-a9a2-a042f531ed1d,200,1766120104687000
GET | 200 | 68.231.21.72 | 9b044e3c3961b38d | https://zxqhxjuwmkxevhkpqfzf.supabase.co/rest/v1/maintenance_requests?select=*%2Cprofiles%21tenant_id%28name%2Cemail%29%2Cproperties%28name%2Caddress%29&order=created_at.desc&limit=20&offset=0 | MyAILandlord/1 CFNetwork/3860.200.71 Darwin/25.1.0,21d0deeb-43a1-4e60-b2b4-146ebfc3f56c,zxqhxjuwmkxevhkpqfzf,GET,/rest/v1/maintenance_requests,?select=*%2Cprofiles%21tenant_id%28name%2Cemail%29%2Cproperties%28name%2Caddress%29&order=created_at.desc&limit=20&offset=0,200,1766120104363000
